County,Percent_Vacc
Nassau County,54.7
Delaware County,54.3
Sangamon County,61.5
Brown County,56.4
Unknown County,0
Monroe County,54.7
Pennington County,50.8
Brunswick County,58.3
Terrell County,29.9
Trigg County,44.5
Escambia County,51.4
Linn County,62.9
Chouteau County,30.2
Charlotte County,62.4
Newton County,19.7
Kiowa County,48.3
Rogers County,43.6
Morovis Municipio,65.9
Fajardo Municipio,72
McLean County,48.1
Platte County,38.7
Carver County,62.9
Keya Paha County,27.2
Beckham County,38.8
Coshocton County,36.7
Grayson County,39.3
San Saba County,34.6
Briscoe County,42.6
Juana Diaz Municipio,68.2
Marion County,45.5
Travis County,65.5
Pittsburg County,42.8
Uvalde County,50.2
Twiggs County,15.9
Mineral County,51.8
Peoria County,57.4
Perry County,38.5
Roberts County,32.7
Sullivan County,40.7
Navajo County,67.1
Steele County,44.7
Grant County,21.5
Gray County,44.9
Waseca County,53.8
Christian County,43.4
Roane County,29.1
Barranquitas Municipio,69.2
Livingston Parish,37.4
Miller County,24.4
Pulaski County,43.3
Campbell County,41.3
Knox County,38
Jefferson County,73.6
Grand County,63.1
Adams County,32.8
Worth County,38.4
Monroe County,52.2
Mahaska County,41.5
Hyde County,51.8
Banner County,29
Island County,62.5
Hudspeth County,60.5
Banks County,15.5
Sweetwater County,43.3
Custer County,41.5
Brooks County,57.5
Uinta County,45.5
Hansford County,40.3
Lee County,44.6
Phillips County,48.7
Des Moines County,48.5
Claiborne Parish,39.1
San Benito County,59.8
Prince of Wales-Hyder Census Area,51.6
Logan County,44.5
Canyon County,38.9
Fayette County,37.3
Walker County,44.5
Wasco County,62
Fayette County,62.3
Carroll County,45.5
Logan County,20.6
Washington County,48.1
Unknown County,0
Clark County,43.9
Gooding County,37.6
San Joaquin County,57.4
Catawba County,51.8
Hamilton County,43
DeKalb County,39
Cumberland County,59.6
Sanborn County,51.7
Poinsett County,42.1
Marion County,43
Orocovis Municipio,75.9
Clark County,35.3
Clayton County,23.1
Swisher County,38.1
Kane County,61.7
Val Verde County,61.8
Sullivan County,59.4
Staunton city,46.5
Erie County,56
Unknown County,0
Wrangell City and Borough,56.1
Bonneville County,44.3
LaPorte County,52.9
Johnson County,69.3
Greene County,38.7
Laurens County,36.3
Hickman County,35
Anne Arundel County,72.2
Sibley County,46
Walthall County,38.2
Grundy County,53.3
Colonial Heights city,36.1
Aguada Municipio,67.7
Sunflower County,49.5
Wilson County,50
Swain County,53
Greene County,46.5
Lee County,52.6
Greene County,40.5
Santa Isabel Municipio,65.8
Wheeler County,29.4
Gem County,35.8
Halifax County,41.5
Wood County,58
Presque Isle County,57.6
Murray County,42.6
Arecibo Municipio,95
Hickman County,40.2
Dawson County,31.7
Aguas Buenas Municipio,68.7
Juneau County,49.4
Carroll County,68.7
Muskogee County,47.7
Barnwell County,51.9
Caledonia County,34.4
Walworth County,50.5
Camp County,36.8
Martin County,60.7
Unknown County,0
Bracken County,44.5
Garrett County,47.6
Naranjito Municipio,75.4
Richardson County,48.3
Malheur County,44.4
Pecos County,53.5
Anderson County,52.9
Gillespie County,51.1
Columbia County,63.3
Rich County,46.9
St. Clair County,32.7
Deer Lodge County,55.5
De Witt County,49.7
Mitchell County,50.9
Spencer County,27.5
West Feliciana Parish,84.2
Audubon County,56.2
Okanogan County,64.7
Marion County,42.7
Panola County,35
Mobile County,46
Dukes County,3.8
Ringgold County,49.8
Pulaski County,42
Concho County,46.7
Adjuntas Municipio,68.9
Delta County,59.2
Branch County,42.3
Kent County,36.7
Franklin County,48.1
Windham County,59.9
Franklin County,41
Leelanau County,79.1
Harvey County,43.6
Garvin County,44
Ravalli County,46.6
Kanawha County,69
Arthur County,18.1
Robertson County,36.4
La Crosse County,64.9
Unknown County,0
San Juan Municipio,68.7
Washington County,44.6
Windham County,64.4
Caldwell County,51.2
McCurtain County,33.5
Pearl River County,44.4
Jackson County,48.4
Callaway County,44.4
Childress County,43.9
Calhoun County,44.2
Jefferson County,40.9
Bullock County,46.7
Wright County,54.4
Morgan County,35.4
Lake of the Woods County,52.7
Passaic County,64
Blue Earth County,57.2
Unknown County,0
Marshall County,40
Villalba Municipio,84.5
Butler County,53
Warren County,43.1
Custer County,48.1
Marion County,42.3
Weber County,55
San Juan County,67.5
Smith County,31.8
Hendry County,45.1
Norfolk County,74
Pontotoc County,48.3
Muscatine County,57.3
Marshall County,60.7
Cherokee County,29.8
Coryell County,44.5
Gasconade County,49.2
Unknown County,0
Josephine County,48.2
Screven County,37.4
Lincoln County,33.4
Aleutians East Borough,70.9
Unknown County,0
Hillsborough County,60
Brooks County,32.5
Mecklenburg County,58.3
Buena Vista city,0
Stephens County,44.5
Bee County,46.8
Perry County,46.2
Union County,37.3
Greene County,37.9
Columbiana County,46.3
Calhoun County,43.2
Texas County,30.9
St. Lucie County,54.8
St. Louis city,54.1
Lauderdale County,43.4
Phillips County,46.2
Lake County,62.5
Sioux County,39.6
Franklin County,46.1
Jeff Davis County,12.8
Live Oak County,40
Goliad County,40.2
Davie County,53.2
Humphreys County,54.1
Switzerland County,29.3
Ponce Municipio,79
Dunn County,46.1
Santa Cruz County,73.1
Fulton County,51
Bibb County,26.7
Lexington County,51.2
Rutherford County,39.2
St. Mary's County,63.8
Fall River County,58.9
Hamilton County,59.6
Broomfield County,76.4
Wilkin County,51.9
Lafayette County,37.7
Walker County,25.8
Franklin city,0
Morgan County,48.3
Lamar County,40.9
Madison County,47.8
Wayne County,57.4
Lumpkin County,13.1
Washington County,56.6
Jasper County,44.3
San Mateo County,77.7
Martin County,29.5
Socorro County,63.4
Rockingham County,47
Benson County,48.4
Clare County,44.2
Jeff Davis County,51.4
Jefferson County,42.4
Palo Alto County,48.1
Chase County,42.7
Quay County,46.1
Charles City County,46.8
Cidra Municipio,71.8
Dallas County,56
Wise County,36.5
Florence County,53.2
Harrison County,37.5
Sharp County,36.7
Floyd County,50.5
Maricopa County,52.7
Richland County,44.3
Bleckley County,13.6
Washington County,47.8
Cameron County,53.1
Atchison County,53.2
Roseau County,48.8
Chatham County,54.7
Potter County,57.6
Snohomish County,65.6
Chester County,61.8
Sarpy County,60.1
Buchanan County,51
Marion County,39.5
Clark County,45.5
Lassen County,35.6
Isanti County,40
St. Francis County,46.9
Pike County,52
Early County,23.2
Mineral County,53.8
Sevier County,47.5
Dawson County,14.9
Sarasota County,66.8
St. Joseph County,55.3
San Bernardino County,52.3
Umatilla County,51.8
Chowan County,51.7
Iowa County,65.9
Antelope County,35.3
Jackson County,55.2
Sullivan County,53.3
Fulton County,38
Pickens County,17.2
Henry County,50.4
Colquitt County,22.4
Moore County,54
Montague County,33.1
Dawson County,36.1
Reynolds County,24.9
Toole County,43.8
Jackson County,26.4
Franklin County,64.1
Mayaguez Municipio,73.8
Wayne County,39
Huntingdon County,47.5
Harper County,44.7
Carteret County,54.3
Kent County,50.9
Guthrie County,55.8
Wayne County,42.8
Osborne County,40.3
Carroll County,32
Cattaraugus County,52.6
Floyd County,42.4
Orange County,61.8
Union County,39
Fredericksburg city,38.3
Merced County,47.6
Polk County,63.2
Adams County,63
Wilcox County,16.2
Pike County,46.6
Stark County,51.1
Henry County,44.4
Canovanas Municipio,71.2
Forsyth County,57.6
Suwannee County,36.1
Martin County,49.3
Chaves County,41.6
Benton County,47.7
Marion County,52
Giles County,36.6
Saratoga County,75.1
Moniteau County,34.3
Franklin County,44.9
Crow Wing County,53.7
District of Columbia,63.4
De Baca County,48.1
Guilford County,57.2
Clark County,28.7
Hancock County,60.2
Wahkiakum County,47.2
Washington County,51.3
Lamoille County,58.6
Cooper County,41.1
Camden County,42.6
Grant County,39.8
Grundy County,28.9
Berkshire County,54.7
Leon County,53.6
Mercer County,49
Alfalfa County,43.3
Cobb County,41.3
Gunnison County,66.3
Yabucoa Municipio,70.4
Ralls County,26.9
Rutherford County,50.2
Crittenden County,39.1
Tillman County,46.5
LaSalle County,54.9
Hamblen County,40.2
Durham County,66
Catoosa County,21.1
Howell County,31.3
Aguadilla Municipio,74.6
Humboldt County,38.9
Neosho County,25.5
Pulaski County,57.1
Frederick County,71.3
Ashland County,40.8
Adair County,36.5
Ascension Parish,47.5
Cross County,48.7
Pacific County,52.6
McMullen County,43.1
Northumberland County,52.6
Allamakee County,50.3
Louisa County,49.6
Sumter County,77.5
Wood County,58.6
Crockett County,45.4
Claiborne County,50.8
Alexander County,42.6
Hardy County,55.1
Roger Mills County,34.4
Walker County,45.3
Union County,38.7
Marion County,59.1
Brown County,60.6
